Rank,X,University name,scholarly_output_2017,citation_count_2016,citation_count_growth_acc,publications_in_top_1percent_journal_2017,publications_in_top_5percent_journal_growth_acc,outputs_in_top_1percent_citation_2016,outputs_in_top_10percent_citation_2016,outputs_in_top_25percent_citation_2016,outputs_in_top_25percent_citation_avg,top_500_authors_citacions_avg,outputs_in_top_10percent_citation_articles_only_2017,outputs_in_top_25percent_citation_articles_only_2017,citations_per_publication_articles_conference_papers_avg,citations_per_publication_articles_conference_papers_growth,outputs_in_top_10percent_citation_articles_reviews_conference_papers_growth,outputs_in_top_10percent_citation_avg,outputs_in_top_1percent_citation_avg,class,class1
165,164, Universitat de Barcelona (UB),3196,43202,1739.333333,117,120,108,676,1346,1330.4,1221.474,448,961,2.053945,-0.498518,10.25,672.2,112.8,class_1,1
166,165, Universiti Sains Malaysia (USM),7662,96459,-9837.666667,246,112,218,1561,3138,3205.6,1049.958,1351,2707,1.487277,-0.557931,14.5,1534.2,234.2,class_1,1
167,166, Case Western Reserve University,743,6130,-117.666667,15,-7,11,110,246,287.6,138.834,107,262,12.401889,-4.003804,-1.5,125.0,14.6,class_1,1
168,167, Université Catholique de Louvain (UCL),4186,58632,-302,178,126,146,941,2034,1954,653.774,834,1823,2.714842,-0.998185,10.25,922.4,129.4,class_1,1
169,168, Universität Freiburg,5070,74742,-1019.666667,253,124,182,1229,2373,2348,NA,52,94,5.835963,-2.619921,-17.25,1174.0,191.6,class_1,1
170,169, University of Rochester,2919,21155,-693,37,114,29,359,891,976.4,238.87,354,928,1.898272,-0.905527,33.5,401.2,36.2,class_1,1
171,170,University of Florida,3259,47354,-5121,153,60,118,730,1488,1473.8,1005.066,35,67,2.550296,-0.798239,9.75,671.2,109.2,class_1,1
172,171, University of Bath,2532,15881,-569.666667,33,73,25,319,733,744.2,190.65,28,51,2.203357,-0.609917,19.25,305.8,20.0,class_1,1
173,172, National Tsing Hua University,2236,38006,-583.333333,142,40,97,531,1070,1027.4,374.814,22,47,13.941313,-4.818584,-2.25,495.2,82.0,class_1,1
174,173, Queen's University of Belfast,2545,26078,1021,104,61,58,450,1043,1045.8,313.812,271,694,2.453105,-1.493574,-14,454.8,48.2,class_1,1
175,174, University of Waterloo,784,9345,-3156.333333,10,52,25,195,356,384,NA,5,12,18.440175,-5.31896,8.5,213.4,37.8,class_1,1
176,175, University of Otago,3605,39245,361.333333,97,171,83,661,1415,1363.6,386.406,43,99,11.34302,-3.944825,8.5,616.0,78.2,class_1,1
177,176, Scuola Superiore Sant'Anna Pisa,2987,33342,-3870,109,33,53,443,1154,1166.8,379.324,428,1027,11.751831,-3.796049,-6.5,490.8,59.2,class_1,1
178,177, Università di Bologna (UNIBO),1078,5454,-876.666667,22,23,13,85,216,239.8,73.69,7,22,8.415695,-2.525961,16.25,104.6,14.8,class_1,1
179,178, Technische Universität Dresden,5608,87452,-7517.666667,343,-103,241,1397,2739,2734.4,1314.94,1083,2127,16.964674,-5.93142,6.25,1366.2,225.0,class_1,1
180,179, Eberhard Karls Universität Tübingen,2814,34726,-3813,86,-92,85,563,1158,1166,403.92,56,118,13.243836,-4.518324,8.75,545.6,79.6,class_1,1
181,180, University of Liverpool,6660,88862,-3698,169,268,184,1394,2818,2779,2050.062,51,96,3.461494,-1.010662,18.5,1309.4,189.4,class_1,1
182,181, Indian Institute of Technology Delhi (IITD),9060,94022,-3653,310,99,194,1531,3461,3519.2,2016.668,150,285,12.528282,-4.479997,4.25,1553.4,202.2,class_1,1
183,182, Erasmus University Rotterdam,2210,30934,-3326.333333,98,-17,81,483,966,964.8,NA,367,798,15.335462,-5.194849,-1.25,465.6,69.0,class_1,1
184,183, Indian Institute of Science (IISc) Bangalore,3175,19435,-3364.666667,31,91,27,263,621,676.6,284.234,215,514,6.020218,-1.517001,-0.75,262.0,31.6,class_1,1
185,184, University College Dublin (UCD),3624,45864,-1247.666667,138,122,116,829,1639,1672.2,999.56,553,1115,17.10937,-6.344837,-0.75,855.2,140.2,class_1,1
186,185, King Abdul Aziz University (KAU),4571,66051,-4751.666667,198,48,197,995,1979,1944.6,604.104,621,1300,16.89482,-5.597824,-0.5,945.4,162.6,class_1,1
187,186, University of Twente,4190,56064,-2165.333333,160,177,153,983,1915,1942.8,2116.186,854,1626,13.76937,-4.66913,5.75,962.0,144.0,class_1,1
188,187, Universitat Autónoma de Barcelona,2621,27934,-509.333333,88,105,64,502,1116,1129.2,962.484,365,809,13.884916,-4.896267,3.25,517.2,72.8,class_1,1
189,188, Texas A&M University,1564,14362,-3697.666667,33,-4,44,262,559,563.2,211.868,257,538,10.911041,-2.52976,16.5,266.0,44.4,class_1,1
190,189, Universidad de Chile,5091,78303,-96,286,59,211,1385,2541,2508.8,NA,119,225,18.040391,-6.658472,-1.75,1318.4,202.4,class_1,1
191,190, Stockholm University,4897,58455,-4749.666667,188,65,152,1002,2053,2036.4,1136.72,874,1923,1.652173,-0.185329,33.75,958.2,153.4,class_1,1
192,191, Technische Universität Wien,4997,66619,-1430.666667,193,149,154,1075,2093,2075.8,943.302,113,225,16.184764,-5.550779,5,1021.0,152.4,class_1,1
193,192, Universidad Autónoma de Madrid,6938,92887,-2901,242,157,222,1468,2937,2993.4,1356.464,1198,2494,1.572482,-0.438952,14.75,1452.4,227.6,class_1,1
194,193, University of Aberdeen,3479,42437,-2013.333333,122,82,94,673,1418,1432.6,474.918,41,74,13.380089,-4.29722,20.25,667.4,102.6,class_1,1
195,194, Vrije Universiteit Brussel (VUB),1852,21151,-770,79,-48,37,372,790,791,NA,16,30,1.879973,-0.656443,6,376.0,45.6,class_1,1
196,195, Georg-August-Universität Göttingen,6356,88751,-3836.666667,316,116,239,1488,2946,2959.8,NA,1265,2412,17.530027,-6.377556,23.25,1492.2,241.6,class_1,1
197,196, University of Cape Town,3960,53035,-3796.666667,192,26,159,970,1818,1850.2,3425.436,735,1482,14.10635,-4.338297,30.5,924.8,145.4,class_1,1
198,197, University of Virginia,3374,27669,-1257.666667,64,105,55,449,1062,1004.2,349.054,71,169,1.157835,-0.356872,13,393.2,44.2,class_1,1
199,198, Keio University,2902,25615,-1484,65,139,54,460,1039,992.8,377.6,408,951,3.086728,-0.97941,29.75,415.4,47.6,class_1,1
200,199, King Fahd University of Petroleum & Minerals (KFUPM),3469,54987,-2341.333333,150,136,133,885,1651,1679.2,1534.054,30,55,2.951209,-0.85415,14,839.6,131.6,class_1,1
